time,backRightPower,backLeftPower,frontLeftPower,frontRightPower,isClampAtMax,targetElevatorPosition,plastic_clampState,basketState,targetArmPosition
2.799521948,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,CLOSED,CLOSED,HIGH
2.837119535,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,CLOSED,CLOSED,HIGH
2.874184831,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.909456376,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.944069338,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.978296716,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
3.009950136,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
3.059193974,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
3.095014436,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
3.129906815,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
3.172519611,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,HIGH
3.221845116,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,HIGH
3.254384911,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,HIGH
3.289783331,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,HIGH
3.338171127,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,HIGH
3.382694632,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,HIGH
3.427160095,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,HIGH
3.472635891,0.5148689736666667,0.5148689736666667,0.5148689736666667,0.5148689736666667,true,DEFAULT,OPEN,CLOSED,HIGH
3.51549952,0.5300363226666667,0.5300363226666667,0.5300363226666667,0.5300363226666667,true,DEFAULT,OPEN,CLOSED,HIGH
3.562239983,0.544329449,0.544329449,0.544329449,0.544329449,true,DEFAULT,OPEN,CLOSED,HIGH
3.609721863,0.5598579783333334,0.5598579783333334,0.5598579783333334,0.5598579783333334,true,DEFAULT,OPEN,CLOSED,HIGH
3.647653117,0.575687605,0.575687605,0.575687605,0.575687605,true,DEFAULT,OPEN,CLOSED,HIGH
3.691910038,0.5883261063333333,0.5883261063333333,0.5883261063333333,0.5883261063333333,true,DEFAULT,OPEN,CLOSED,HIGH
3.745763377,0.6,0.6,0.6,0.6,true,DEFAULT,OPEN,CLOSED,HIGH
3.782267797,0.6,0.6,0.6,0.6,true,DEFAULT,OPEN,CLOSED,HIGH
3.819062717,0.6,0.6,0.6,0.6,true,DEFAULT,OPEN,CLOSED,HIGH
3.876772473,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
3.913171893,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
3.954702606,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
3.991754193,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.028782738,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.079028743,-0.5185071269999999,0.5185071269999999,-0.5185071269999999,0.5185071269999999,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.120212373,-0.5436792750000001,0.5436792750000001,-0.5436792750000001,0.5436792750000001,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.170022336,-0.5642664229999999,0.5642664229999999,-0.5642664229999999,0.5642664229999999,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.220914383,-0.5891250294999999,0.5891250294999999,-0.5891250294999999,0.5891250294999999,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.27783518,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.316835976,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.352218938,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.397218442,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.447764281,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.488996035,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.528989664,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.568129001,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.608141297,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.645655759,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.683876929,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.739673643,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.8049014,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.846524862,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.885327033,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.937908705,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
4.972706875,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,OPEN,SIDE_INTAKE
5.019604838,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.059163009,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.10295618,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.139336058,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.177875146,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.212963524,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.25342557,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.316324659,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.349917954,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.380900833,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.413111336,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.451862756,-0.5107478203333334,-0.5107478203333334,-0.5107478203333334,-0.5107478203333334,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.494220927,-0.5236678773333333,-0.5236678773333333,-0.5236678773333333,-0.5236678773333333,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.54105939,-0.5377985453333333,-0.5377985453333333,-0.5377985453333333,-0.5377985453333333,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.599227063,-0.5534005746666667,-0.5534005746666667,-0.5534005746666667,-0.5534005746666667,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.645291734,-0.573147771,-0.573147771,-0.573147771,-0.573147771,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.686443572,-0.5881653976666668,-0.5881653976666668,-0.5881653976666668,-0.5881653976666668,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.723806075,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.762090538,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.807822709,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.842992171,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.886358633,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.92261222,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.959427849,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
5.994369811,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.028005689,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.071766194,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.109231072,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.155848452,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.190877622,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.23334896,-0.6,-0.6,-0.6,-0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.276372131,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.323824261,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.364438848,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.399807227,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.444874981,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.483363318,0.0,0.0,0.0,0.0,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.523424614,-0.5192389184999997,0.5192389184999997,-0.5192389184999997,0.5192389184999997,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.56959516,-0.5392648999999996,0.5392648999999996,-0.5392648999999996,0.5392648999999996,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.610388539,-0.5623441939999996,0.5623441939999996,-0.5623441939999996,0.5623441939999996,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.658573919,-0.582747446,0.582747446,-0.582747446,0.582747446,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.709682091,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.744034011,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.787735307,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.845851355,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.880921067,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.916924112,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
6.953805657,-0.6,0.6,-0.6,0.6,true,DEFAULT,OPEN,CLOSED,SIDE_INTAKE
